Venda;Compra;Máximo;Mínimo;Variação(R$);Variação(%);Abertura;Data;
4.1044;4.1049;4.1190;4.0825;0.0030;0.073;0.0000;20/05/2019 00:00:00;
4.0998;4.1019;4.1072;4.0533;0.0653;1.618;0.0000;17/05/2019 00:00:00;
4.0361;4.0366;4.0390;3.9946;0.0404;1.011;0.0000;16/05/2019 00:00:00;
3.9958;3.9962;4.0196;3.9730;0.0204;0.513;0.0000;15/05/2019 00:00:00;
3.9754;3.9758;3.9896;3.9672;-0.0034;-0.085;0.0000;14/05/2019 00:00:00;
3.9774;3.9792;3.9967;3.9761;0.0349;0.885;0.0000;13/05/2019 00:00:00;
3.9436;3.9443;3.9694;3.9393;-0.0093;-0.235;0.0000;10/05/2019 00:00:00;
3.9526;3.9536;3.9756;3.9378;0.0204;0.519;0.0000;09/05/2019 00:00:00;
3.9324;3.9332;3.9904;3.9274;-0.0362;-0.912;0.0000;08/05/2019 00:00:00;
3.9684;3.9694;3.9965;3.9654;0.0114;0.288;0.0000;07/05/2019 00:00:00;
3.9574;3.9580;3.9728;3.9380;0.0188;0.477;0.0000;06/05/2019 00:00:00;
3.9385;3.9392;3.9680;3.9330;-0.0197;-0.498;0.0000;03/05/2019 00:00:00;
3.9584;3.9589;3.9704;3.9174;0.0362;0.923;0.0000;02/05/2019 00:00:00;
3.9219;3.9227;3.9559;3.9182;-0.0193;-0.490;0.0000;30/04/2019 00:00:00;
3.9402;3.9420;3.9413;3.9240;0.0103;0.262;0.0000;29/04/2019 00:00:00;
3.9308;3.9317;3.9658;3.9203;-0.0244;-0.617;0.0000;26/04/2019 00:00:00;
3.9549;3.9561;4.0029;3.9504;-0.0302;-0.758;0.0000;25/04/2019 00:00:00;
3.9856;3.9863;3.9927;3.9219;0.0639;1.629;0.0000;24/04/2019 00:00:00;
3.9217;3.9224;3.9613;3.9154;-0.0104;-0.264;0.0000;23/04/2019 00:00:00;
3.9321;3.9328;3.9343;3.9130;0.0030;0.076;0.0000;22/04/2019 00:00:00;
3.9288;3.9298;3.9470;3.9108;-0.0045;-0.114;0.0000;18/04/2019 00:00:00;
3.9333;3.9343;3.9412;3.8887;0.0325;0.833;0.0000;17/04/2019 00:00:00;
3.9000;3.9018;3.9029;3.8690;0.0330;0.853;0.0000;16/04/2019 00:00:00;
3.8665;3.8688;3.8868;3.8610;-0.0204;-0.525;0.0000;15/04/2019 00:00:00;
3.8872;3.8892;3.8992;3.8570;0.0322;0.835;0.0000;12/04/2019 00:00:00;
3.8550;3.8570;3.8602;3.8322;0.0330;0.863;0.0000;11/04/2019 00:00:00;
3.8232;3.8240;3.8444;3.8165;-0.0302;-0.784;0.0000;10/04/2019 00:00:00;
3.8535;3.8542;3.8613;3.8479;0.0051;0.132;0.0000;09/04/2019 00:00:00;
3.8484;3.8491;3.8738;3.8420;-0.0239;-0.617;0.0000;08/04/2019 00:00:00;
